idcompany,status,createduser,createdtime,updateduser,timestamp,rowguid,name,phone,www,postaladdress1,visitingaddress1,postaladdress2,visitingaddress2,postalzipcode,postalcity,visitingzipcode,visitingcity,country,fullpostaladdress,fullvisitingaddress,inactive,registrationno,coworker,buyingstatus,_sys_owner,_sys_group,_sys_permissions
1001,0,1,2018-06-21 14:38:38.837000000,1,2018-06-21 14:38:38.837000000,{10993AEB-E78F-4488-93AA-82DE4143B19B},Lime Technologies AB,0462704800,www.lime-technologies.se,Sankt Lars väg 46,Sankt Lars väg 46,,,222 70,Lund,222 70,Lund,Sweden,Sankt Lars väg 46 222 70 Lund,Sankt Lars väg 46 222 70 Lund,0,556677-8888,,108601,1,2,511
1002,0,1,2018-06-21 14:38:38.837000000,1,2018-06-21 14:38:38.837000000,{74ABD76B-F874-4518-A838-78E21776C6D0},Lime Technologies A/S,+4589887080,www.lime-technologies.dk,Købmagergade 67, 4.tv.,Købmagergade 67, 4.tv.,,,1150,Copenhagen,1150,Copenhagen,Denmark,Købmagergade 67, 4.tv. 1150 Copenhagen,Købmagergade 67, 4.tv. 1150 Copenhagen,0,36053291,,108601,1,2,511
1003,0,1,2018-06-21 14:38:38.837000000,1,2018-06-21 14:38:38.837000000,{F8F13EC4-BC61-4035-9AF3-E5F4F742CFC2},Lime Technologies AB,+46317124400,www.lime-technologies.se,Första Långgatan 4,Första Långgatan 4,,,413 03,Göteborg,222 70,Göteborg,Sweden,Första Långgatan 4 413 03 Göteborg,Första Långgatan 4 222 70 Göteborg,0,556677-8888,1001,108601,1,2,511
1004,0,1,2018-06-21 14:38:38.837000000,1,2018-06-21 14:38:38.837000000,{B028282F-EA21-47C6-A726-44CABFFB8573},Lime Technologies AB,+46856277600,www.lime-technologies.se,Anderstorpsvägen 10,Anderstorpsvägen 10,,,171 54,Solna,171 54,Solna,Sweden,Anderstorpsvägen 10 171 54 Solna,Anderstorpsvägen 10 171 54 Solna,0,556677-8888,,108601,1,2,511
1005,0,1,2018-06-21 14:38:38.837000000,1,2018-06-21 14:38:38.837000000,{83FBE353-81E4-41E1-854C-53FCB4B6AD66},Lime Technologies AS,+4721611710,www.lime-technologies.no,Inkognitogata 33,Inkognitogata 33,,,0256,Oslo,0256,Oslo,Norway,Inkognitogata 33 0256 Oslo,Inkognitogata 33 0256 Oslo,0,989711393,,108501,1,2,511
1006,0,1,2018-06-21 14:38:38.837000000,1,2018-06-21 14:38:38.837000000,{9C4EA315-C85D-460F-ADCD-9D3CBC890AC3},Lime Technologies Finland Oy,+358467148000,www.lime-technologies.fi,Nilsiänkatu 11-13,Nilsiänkatu 11-13,,,00510,Helsinki,00510,Helsinki,Finland,Nilsiänkatu 11-13 00510 Helsinki,Nilsiänkatu 11-13 00510 Helsinki,0,FI23208111,,108501,1,2,511
1007,0,1,2018-06-21 14:38:38.837000000,1,2018-06-21 14:38:38.837000000,{7BE8E778-EABD-4FBE-8265-9B693A143CD0},AB Culinar (DEMO),04058500,www.culinar.com,Box 65,Borrgatan 30,,,211 24,MALMÖ,211 24,MALMÖ,,Box 65 211 24 MALMÖ,Borrgatan 30 211 24 MALMÖ,0,56528-7181,,108601,1,2,511
1008,0,1,2018-06-21 14:38:38.837000000,1,2018-06-21 14:38:38.837000000,{4EB7C690-5A7B-459D-8D0A-11774761507C},Andersen International (DEMO),+4586235688,www.aint.com,Silkeborgvej 77,Silkeborgvej 77,,,7400,Herning,7400,Herning,,Silkeborgvej 77 7400 Herning,Silkeborgvej 77 7400 Herning,0,55643299,,108601,1,2,511
1009,0,1,2018-06-21 14:38:38.837000000,1,2018-06-21 14:38:38.837000000,{781F56A8-806D-48A4-A3DB-E4E5C2DCA8D8},Basemetrics Oy (demo),0417784718,www.google.com,Tehtaankatu 35,Tehtaankatu 35,,,00100,HELSINKI,00100,Helsinki,,Tehtaankatu 35 00100 HELSINKI,Tehtaankatu 35 00100 Helsinki,0,232312-1,,108601,1,2,511
1010,0,1,2018-06-21 14:38:38.837000000,1,2018-06-21 14:38:38.837000000,{9BE02CAC-8B97-4887-A9AE-2D23A82A66C8},Byggare Bob (DEMO),0402224000,http://www.bobthebuilder.com/,Box 1451,Timmervägen 3,,,222 40,MALMÖ,271 91,MALMÖ,,Box 1451 222 40 MALMÖ,Timmervägen 3 271 91 MALMÖ,0,551872-1418,,108601,1,2,511
1011,0,1,2018-06-21 14:38:38.837000000,1,2018-06-21 14:38:38.837000000,{A44C73E4-98CB-4550-9C18-95A758E4FD46},Cykelviktor (DEMO),0718321546,,Ymergatan 15,Ymergatan 15,,,753 25,Uppsala,753 25,Uppsala,,Ymergatan 15 753 25 Uppsala,Ymergatan 15 753 25 Uppsala,0,751523-3512,,108601,1,2,511
1012,0,1,2018-06-21 14:38:38.837000000,1,2018-06-21 14:38:38.837000000,{9AB68C8B-5F49-43B6-A128-7439CC784F63},Dansk Byg A/S (DEMO),+4522669191,Danskbyg.dk,Agenavej 11,Agenavej 11,,,2670,Greve,2670,Greve,,Agenavej 11 2670 Greve,Agenavej 11 2670 Greve,0,24556920,,108501,1,2,511
1013,0,1,2018-06-21 14:38:38.837000000,1,2018-06-21 14:38:38.837000000,{083F4AAA-7D71-4B57-A22F-82DB8BFF4651},Din Maskin AB (DEMO),0418459862,www.dinmaskinas.se,Västra Varvsgatan 48,Västra Varvsgatan 48,,,21114,Malmö,21114,Malmö,,Västra Varvsgatan 48 21114 Malmö,Västra Varvsgatan 48 21114 Malmö,0,129873-7894,,108601,1,2,511
1014,0,1,2018-06-21 14:38:38.837000000,1,2018-06-21 14:38:38.837000000,{7422DFEB-DBD0-4B5C-826C-9B00F3C44354},Engros Specialisten A/S (DEMO),+4525565670,www.engros.nu,Maskinvej 45,Maskinvej 45,,,2000,Frederiksberg,2000,Frederiksberg,,Maskinvej 45 2000 Frederiksberg,Maskinvej 45 2000 Frederiksberg,0,80808001,,108501,1,2,511
1015,0,1,2018-06-21 14:38:38.837000000,1,2018-06-21 14:38:38.837000000,{1F822168-A7F3-4ED8-8A47-236AAE670BEF},HBA Fordonsteknik AB (DEMO),468680900,http://www.hba.nu,Villagatan 21,Villagatan 21,,,382 12,NYBRO,382 12,NYBRO,Sverige,Villagatan 21 382 12 NYBRO,Villagatan 21 382 12 NYBRO,0,556321-8832,,108601,1,2,511
1016,0,1,2018-06-21 14:38:38.837000000,1,2018-06-21 14:38:38.837000000,{D792A843-4B84-48DE-A5A8-0C3E341C795D},Hugo Tillquist AB (DEMO),0822254376,www.tillquist.com,Nybrogatan 7,Nybrogatan 7,,,114 34,Stockholm,114 34,Stockholm,,Nybrogatan 7 114 34 Stockholm,Nybrogatan 7 114 34 Stockholm,0,556125-1942,,108601,1,2,511
1017,0,1,2018-06-21 14:38:38.837000000,1,2018-06-21 14:38:38.837000000,{47959542-DAAD-43BE-BE4D-D270543A4A0B},Konsulenthuset A/S (DEMO),+4532955001,k-huset.dk,Marievej 14,Marievej 14,,,2660,Brøndby Strand,2660,Brøndby Strand,,Marievej 14 2660 Brøndby Strand,Marievej 14 2660 Brøndby Strand,0,90800224,,108601,1,2,511
1018,0,1,2018-06-21 14:38:38.837000000,1,2018-06-21 14:38:38.837000000,{FFFBBB71-F2D9-4F1D-AECD-88B35CBDF882},LEGO (DEMO),+4675632541,www.lego.com,Star wars st. 46,Star wars st. 46,,,236 31,Tatooine,236 31,Tatooine,,Star wars st. 46 236 31 Tatooine,Star wars st. 46 236 31 Tatooine,0,8656589,,108501,1,2,511
1019,0,1,2018-06-21 14:38:38.837000000,1,2018-06-21 14:38:38.837000000,{93531347-788B-4765-8D95-0F07CE822293},Medlemsklubben A/S (DEMO),+4567678383,www.medlem.com,Bøgevej 21B,Bøgevej 21B,,,8000,Århus C,8000,Århus C,,Bøgevej 21B 8000 Århus C,Bøgevej 21B 8000 Århus C,0,86765654,,108501,1,2,511
1020,0,1,2018-06-21 14:38:38.837000000,1,2018-06-21 14:38:38.837000000,{74ECD95B-EBDE-40E3-ADAF-55F7CA7E37F1},NTA Ejendomme (DEMO),+4566343434,www.ntaejendomme.dk,Tietgensgade 20,Tietgensgade 20,,,5000,Odense,5000,Odense,,Tietgensgade 20 5000 Odense,Tietgensgade 20 5000 Odense,0,45678122,,108501,1,2,511
1021,0,1,2018-06-21 14:38:38.837000000,1,2018-06-21 14:38:38.837000000,{A377E3E6-D668-48C1-BFB4-057FE13647EC},Orkla AS (DEMO),+4722134788,http://www.egelectronics.com/web/Hem.aspx,Valkyr,Langkaia 1,,,egat,OSLO,0155,Oslo,Norge,Valkyr egat OSLO,Langkaia 1 0155 Oslo,0,990399124,,108601,1,2,511
1022,0,1,2018-06-21 14:38:38.837000000,1,2018-06-21 14:38:38.837000000,{45A9424F-088B-4153-B9BD-303B868522EA},PH Glas (DEMO),+4521324545,www.phglas.com,Glasgade 300,Glasgade 300,,,8210,Århus V,8210,Århus V,,Glasgade 300 8210 Århus V,Glasgade 300 8210 Århus V,0,80838485,,108601,1,2,511
1023,0,1,2018-06-21 14:38:38.837000000,1,2018-06-21 14:38:38.837000000,{60A2C2DC-089B-498B-86EA-76FC14F0EB61},T-BYG (DEMO),+4530005000,tbyg.dk,Byggepladsvej 50,Byggepladsvej 50,,,2300,Sundby,2300,Sundby,,Byggepladsvej 50 2300 Sundby,Byggepladsvej 50 2300 Sundby,0,10202030,,108501,1,2,511
1024,0,1,2018-06-21 14:38:38.837000000,1,2018-06-21 14:38:38.837000000,{8E45F97A-9A37-4A11-989C-C0926651F3F8},TNK Teknik & Maskiner A/S (DEMO),+4588556677,www.tnk.dk,Maskinparken 1,Maskinparken 1,,,9000,Aalborg,9000,Aalborg,,Maskinparken 1 9000 Aalborg,Maskinparken 1 9000 Aalborg,0,97667623,,108501,1,2,511
1025,0,1,2018-06-21 14:38:38.837000000,1,2018-06-21 14:38:38.837000000,{DCC3B8A6-9C98-4001-A4CE-4C4293EE21BC},Vandaley Industier AB (DEMO),0771793336,www.vandaley.se,Pennygången 32,Pennygången 32,,,126 55,STOCKHOLM,126 55,STOCKHOLM,,Pennygången 32 126 55 STOCKHOLM,Pennygången 32 126 55 STOCKHOLM,0,5555-987652,,108501,1,2,511
1026,0,1,2018-06-21 14:38:38.837000000,1,2018-06-21 14:38:38.837000000,{ADDF01D8-06E4-4BCB-A6D3-988E69DAABA1},Välinge Innovation + (DEMO),+4640722592,www.valinge.se,Sannarpsvägen 25,Sannarpsvägen 25,,,224 41,VIKEN,224 41,VIKEN,,Sannarpsvägen 25 224 41 VIKEN,Sannarpsvägen 25 224 41 VIKEN,0,660312-4101,,108501,1,2,511
1027,0,1,2018-06-21 14:38:38.837000000,1,2018-06-21 14:38:38.837000000,{4C757117-B700-4E0B-A725-A0160A3F2519},Åre Chokladfabrik (DEMO),08090000320,www.arechokladfabrik.se,Björnvägen 32,Björnvägen 32,,,830 13,Åre,830 13,Åre,,Björnvägen 32 830 13 Åre,Björnvägen 32 830 13 Åre,0,6505-043943,,108601,1,2,511
